2022-08-02 10:19:43,271 {'Time': '2022-08-02T10:19:42.614918562Z', 'Protocol': 'TCP', 'Source': '181.78.24.83', 'Destination': '192.168.137.247', 'P_src': '9619', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:19:43,970 {'Time': '2022-08-02T10:19:43.83286514Z', 'Protocol': 'TCP', 'Source': '171.31.138.152', 'Destination': '192.168.137.247', 'P_src': '10375', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:19:46,094 {'Time': '2022-08-02T10:19:43.590034220Z', 'Protocol': 'TCP', 'Source': '216.150.106.141', 'Destination': '192.168.137.247', 'P_src': '13506', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:19:51,723 {'Time': '2022-08-02T10:19:44.91897887Z', 'Protocol': 'TCP', 'Source': '24.103.198.152', 'Destination': '192.168.137.247', 'P_src': '19077', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:19:54,734 {'Time': '2022-08-02T10:19:44.588594510Z', 'Protocol': 'TCP', 'Source': '139.252.233.178', 'Destination': '192.168.137.247', 'P_src': '24463', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:19:54,735 {'Time': '2022-08-02T10:19:44.588616675Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '139.252.233.178', 'P_src': '80', 'P_dst': '24463', 'event': 'Dos'}
2022-08-02 10:19:54,736 {'Time': '2022-08-02T10:19:44.588594698Z', 'Protocol': 'TCP', 'Source': '198.40.68.42', 'Destination': '192.168.137.247', 'P_src': '24464', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:19:54,737 {'Time': '2022-08-02T10:19:44.588628873Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '198.40.68.42', 'P_src': '80', 'P_dst': '24464', 'event': 'Dos'}
2022-08-02 10:19:54,738 {'Time': '2022-08-02T10:19:44.588594745Z', 'Protocol': 'TCP', 'Source': '198.206.152.226', 'Destination': '192.168.137.247', 'P_src': '24465', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:19:54,739 {'Time': '2022-08-02T10:19:44.588634541Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '198.206.152.226', 'P_src': '80', 'P_dst': '24465', 'event': 'Dos'}
2022-08-02 10:19:54,740 {'Time': '2022-08-02T10:19:44.588594791Z', 'Protocol': 'TCP', 'Source': '48.66.108.183', 'Destination': '192.168.137.247', 'P_src': '24466', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:19:54,741 {'Time': '2022-08-02T10:19:44.588639774Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '48.66.108.183', 'P_src': '80', 'P_dst': '24466', 'event': 'Dos'}
2022-08-02 10:19:54,742 {'Time': '2022-08-02T10:19:44.588594844Z', 'Protocol': 'TCP', 'Source': '205.11.194.102', 'Destination': '192.168.137.247', 'P_src': '24467', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:19:54,750 {'Time': '2022-08-02T10:19:44.588644303Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '205.11.194.102', 'P_src': '80', 'P_dst': '24467', 'event': 'Dos'}
2022-08-02 10:19:54,751 {'Time': '2022-08-02T10:19:44.588594888Z', 'Protocol': 'TCP', 'Source': '197.187.31.150', 'Destination': '192.168.137.247', 'P_src': '24468', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:19:54,752 {'Time': '2022-08-02T10:19:44.588648591Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '197.187.31.150', 'P_src': '80', 'P_dst': '24468', 'event': 'Dos'}
2022-08-02 10:19:57,251 {'Time': '2022-08-02T10:19:45.86098427Z', 'Protocol': 'TCP', 'Source': '137.50.17.139', 'Destination': '192.168.137.247', 'P_src': '28464', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:19:57,252 {'Time': '2022-08-02T10:19:45.86120749Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '137.50.17.139', 'P_src': '80', 'P_dst': '28464', 'event': 'Dos'}
2022-08-02 10:19:59,356 {'Time': '2022-08-02T10:19:45.586655409Z', 'Protocol': 'TCP', 'Source': '63.198.107.157', 'Destination': '192.168.137.247', 'P_src': '32271', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:01,332 {'Time': '2022-08-02T10:19:46.96588924Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '54.207.152.68', 'P_src': '51866', 'P_dst': '5671', 'event': 'Dos'}
2022-08-02 10:20:03,574 {'Time': '2022-08-02T10:19:46.630989216Z', 'Protocol': 'TCP', 'Source': '200.93.4.19', 'Destination': '192.168.137.247', 'P_src': '38593', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:05,508 {'Time': '2022-08-02T10:19:47.83740507Z', 'Protocol': 'TCP', 'Source': '11.125.108.233', 'Destination': '192.168.137.247', 'P_src': '41465', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:09,486 {'Time': '2022-08-02T10:19:47.630031604Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '35.162.19.172', 'P_src': '41658', 'P_dst': '443', 'event': 'Dos'}
2022-08-02 10:20:10,623 {'Time': '2022-08-02T10:19:48.85407622Z', 'Protocol': 'TCP', 'Source': '2.171.138.183', 'Destination': '192.168.137.247', 'P_src': '48499', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:11,767 {'Time': '2022-08-02T10:19:49.621997204Z', 'Protocol': 'TCP', 'Source': '157.139.192.233', 'Destination': '192.168.137.247', 'P_src': '56664', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:13,633 {'Time': '2022-08-02T10:19:50.86213515Z', 'Protocol': 'TCP', 'Source': '233.101.90.98', 'Destination': '192.168.137.247', 'P_src': '59454', 'P_dst': '80', 'event': 'Dos'}
